open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,quote_asset_volume,ignore
2024-09-05 00:00:00+00:00,0.8094,0.8397,0.7787,0.7972,1141275.9,2024-09-05 23:59:59.999,926465.77042,7830,530767.7,430974.1508,,
2024-09-06 00:00:00+00:00,0.7992,0.8884,0.7889,0.838,2258635.3,2024-09-06 23:59:59.999,1897924.85023,11280,1113459.8,937688.71039,,
2024-09-07 00:00:00+00:00,0.8372,0.9173,0.8291,0.8906,2352049.0,2024-09-07 23:59:59.999,2053492.59984,12892,1258584.9,1098827.78697,,
2024-09-08 00:00:00+00:00,0.8938,0.986,0.886,0.9391,3134714.4,2024-09-08 23:59:59.999,2960097.57916,18574,1622859.8,1531545.14726,,
2024-09-09 00:00:00+00:00,0.9396,0.9739,0.8953,0.9588,2845032.6,2024-09-09 23:59:59.999,2656421.84144,18527,1528236.4,1427661.3997,,
2024-09-10 00:00:00+00:00,0.9574,0.9713,0.9092,0.9184,2368259.0,2024-09-10 23:59:59.999,2200582.09641,16395,1027796.8,955590.26831,,
2024-09-11 00:00:00+00:00,0.9184,0.9368,0.8657,0.9299,2477732.8,2024-09-11 23:59:59.999,2235663.0081,12210,1363061.1,1234347.12182,,
2024-09-12 00:00:00+00:00,0.9302,1.07,0.9273,1.0399,4146722.8,2024-09-12 23:59:59.999,4228642.95389,25168,2167452.4,2208757.48633,,
2024-09-13 00:00:00+00:00,1.0424,1.0486,0.9934,1.0286,2012175.8,2024-09-13 23:59:59.999,2057359.30573,16499,1013948.6,1038500.21358,,
2024-09-14 00:00:00+00:00,1.0282,1.0691,1.0047,1.0451,2950242.3,2024-09-14 23:59:59.999,3039415.20672,25299,1395580.4,1440369.62053,,
2024-09-15 00:00:00+00:00,1.0454,1.14,1.0416,1.0805,3922186.0,2024-09-15 23:59:59.999,4287433.0221,33285,1960640.5,2145185.18058,,
2024-09-16 00:00:00+00:00,1.0778,1.1281,1.0231,1.0423,3096809.3,2024-09-16 23:59:59.999,3335876.56277,21700,1445910.2,1562618.56249,,
2024-09-17 00:00:00+00:00,1.0412,1.1937,1.0169,1.1692,5008675.4,2024-09-17 23:59:59.999,5662757.48465,31141,2695323.8,3050938.56723,,
2024-09-18 00:00:00+00:00,1.1694,1.3179,1.1424,1.3166,5895821.5,2024-09-18 23:59:59.999,7100665.34926,45961,2960655.9,3573484.596,,
2024-09-19 00:00:00+00:00,1.317,1.4109,1.308,1.3808,4573237.0,2024-09-19 23:59:59.999,6207060.45242,30913,2302062.3,3124149.53094,,
2024-09-20 00:00:00+00:00,1.3804,1.5755,1.3517,1.4701,5027730.8,2024-09-20 23:59:59.999,7431141.06879,31738,2357473.5,3478704.79946,,
2024-09-21 00:00:00+00:00,1.4711,1.5124,1.4348,1.4817,2896052.4,2024-09-21 23:59:59.999,4290803.89493,25158,1379778.2,2045213.77492,,
2024-09-22 00:00:00+00:00,1.4825,1.635,1.4223,1.5835,4413474.0,2024-09-22 23:59:59.999,6758664.88683,35074,2260404.5,3467110.22239,,
2024-09-23 00:00:00+00:00,1.5857,1.6465,1.5079,1.5349,3852387.8,2024-09-23 23:59:59.999,6019934.05801,37949,1849998.5,2889366.56728,,
2024-09-24 00:00:00+00:00,1.5361,1.7952,1.4965,1.7416,4722256.6,2024-09-24 23:59:59.999,7594691.39643,29519,2509136.6,4049547.12066,,
2024-09-25 00:00:00+00:00,1.7486,1.7742,1.6694,1.6986,2580696.6,2024-09-25 23:59:59.999,4440826.42575,28156,1229215.9,2118024.71093,,
2024-09-26 00:00:00+00:00,1.6967,1.7582,1.6021,1.6397,3033203.3,2024-09-26 23:59:59.999,5151635.9181,26073,1492323.1,2538716.10141,,
2024-09-27 00:00:00+00:00,1.6428,1.7339,1.616,1.6571,2969825.8,2024-09-27 23:59:59.999,5001424.23842,20215,1486794.5,2505365.3361,,
2024-09-28 00:00:00+00:00,1.658,1.6934,1.6076,1.6883,1887480.0,2024-09-28 23:59:59.999,3103039.9392,13882,878609.5,1445510.38774,,
2024-09-29 00:00:00+00:00,1.6878,1.8516,1.6291,1.7593,3784000.0,2024-09-29 23:59:59.999,6626933.54056,27889,1968062.2,3452704.36426,,
2024-09-30 00:00:00+00:00,1.7597,1.8392,1.7023,1.7743,4106270.3,2024-09-30 23:59:59.999,7245192.64035,33808,1944060.3,3435419.72462,,
2024-10-01 00:00:00+00:00,1.7746,1.9322,1.66,1.7573,8958588.9,2024-10-01 23:59:59.999,16116759.03184,42359,4858159.4,8759347.38472,,
2024-10-02 00:00:00+00:00,1.7583,1.9306,1.7392,1.8539,6365427.2,2024-10-02 23:59:59.999,11746728.02005,23200,3336017.1,6159180.75628,,
2024-10-03 00:00:00+00:00,1.8548,2.0162,1.6027,1.6634,9690379.7,2024-10-03 23:59:59.999,17324999.5968,30959,4441376.7,7988633.00358,,
2024-10-04 00:00:00+00:00,1.6631,1.8226,1.6243,1.7723,4903720.0,2024-10-04 23:59:59.999,8533905.36277,14740,2382608.4,4145422.79387,,
2024-10-05 00:00:00+00:00,1.775,1.7878,1.6922,1.7536,2461733.3,2024-10-05 23:59:59.999,4248262.00096,6857,1189293.8,2051352.1423,,
2024-10-06 00:00:00+00:00,1.7531,1.8662,1.7082,1.8411,3504473.9,2024-10-06 23:59:59.999,6230129.6745,10853,1709686.1,3034710.80951,,
2024-10-07 00:00:00+00:00,1.8418,2.167,1.8378,2.0164,8502740.3,2024-10-07 23:59:59.999,17208653.89586,26900,4230381.1,8560440.20006,,
2024-10-08 00:00:00+00:00,2.0187,2.14,1.9302,1.9867,7126844.8,2024-10-08 23:59:59.999,14384259.49945,23547,3624955.1,7325710.73511,,
2024-10-09 00:00:00+00:00,1.9867,1.9963,1.842,1.8737,6103294.1,2024-10-09 23:59:59.999,11710601.70273,21730,3063730.4,5878717.35185,,
2024-10-10 00:00:00+00:00,1.8734,1.9052,1.7442,1.8337,7711286.7,2024-10-10 23:59:59.999,14012500.86113,34939,4121546.2,7497664.73604,,
