open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,quote_asset_volume,ignore
2024-09-04 08:00:00+00:00,118.78,593.9,118.78,130.22,584.407,2024-09-04 11:59:59.999,76726.53204,528,355.569,46649.28753,,
2024-09-04 12:00:00+00:00,130.31,135.18,127.65,135.07,418.675,2024-09-04 15:59:59.999,55252.86128,532,264.112,35131.10049,,
2024-09-04 16:00:00+00:00,135.07,142.11,134.47,136.04,947.226,2024-09-04 19:59:59.999,130320.85624,1097,401.785,55082.81189,,
2024-09-04 20:00:00+00:00,135.58,140.45,135.02,135.1,141.858,2024-09-04 23:59:59.999,19434.18602,203,78.374,10738.3917,,
2024-09-05 00:00:00+00:00,135.0,137.14,130.84,130.84,106.367,2024-09-05 03:59:59.999,14209.36846,93,59.718,7973.38775,,
2024-09-05 04:00:00+00:00,131.79,135.5,131.79,132.19,293.171,2024-09-05 07:59:59.999,38987.29582,457,175.333,23303.3324,,
2024-09-05 08:00:00+00:00,132.95,133.4,130.68,132.89,380.641,2024-09-05 11:59:59.999,50254.38178,180,224.539,29664.33644,,
2024-09-05 12:00:00+00:00,132.4,133.67,129.6,130.87,629.847,2024-09-05 15:59:59.999,82176.48361,258,474.303,61875.98959,,
2024-09-05 16:00:00+00:00,130.94,132.3,128.78,128.78,270.747,2024-09-05 19:59:59.999,35393.88824,413,110.795,14563.45397,,
2024-09-05 20:00:00+00:00,129.0,129.75,127.81,128.65,31.18,2024-09-05 23:59:59.999,4031.16815,61,7.388,954.88977,,
2024-09-06 00:00:00+00:00,128.12,130.99,127.8,128.75,242.05,2024-09-06 03:59:59.999,31360.4544,373,126.908,16461.51187,,
2024-09-06 04:00:00+00:00,128.75,128.97,124.99,126.7,495.312,2024-09-06 07:59:59.999,62960.86442,463,153.182,19537.68821,,
2024-09-06 08:00:00+00:00,126.76,127.24,125.53,126.02,104.385,2024-09-06 11:59:59.999,13183.98378,106,33.09,4190.32367,,
2024-09-06 12:00:00+00:00,126.31,127.9,122.35,123.67,345.281,2024-09-06 15:59:59.999,43384.79998,315,169.661,21346.52741,,
2024-09-06 16:00:00+00:00,123.51,124.58,121.58,121.7,408.205,2024-09-06 19:59:59.999,49984.65262,195,176.169,21618.13758,,
2024-09-06 20:00:00+00:00,122.42,127.0,119.53,127.0,332.604,2024-09-06 23:59:59.999,40475.46881,186,140.851,17328.70211,,
2024-09-07 00:00:00+00:00,125.71,127.08,124.05,126.79,97.803,2024-09-07 03:59:59.999,12215.02306,98,20.596,2591.48908,,
2024-09-07 04:00:00+00:00,126.88,128.0,126.01,126.25,89.85,2024-09-07 07:59:59.999,11371.11042,137,56.911,7208.24914,,
2024-09-07 08:00:00+00:00,126.21,129.04,125.58,129.04,213.727,2024-09-07 11:59:59.999,27253.69194,174,172.281,21987.31909,,
2024-09-07 12:00:00+00:00,128.97,130.79,128.56,128.91,142.841,2024-09-07 15:59:59.999,18488.77895,133,66.058,8574.1189,,
2024-09-07 16:00:00+00:00,128.41,128.81,127.24,127.34,219.09,2024-09-07 19:59:59.999,27995.60507,695,58.441,7474.80744,,
2024-09-07 20:00:00+00:00,127.06,127.18,124.23,124.92,242.34,2024-09-07 23:59:59.999,30215.73452,290,23.635,2954.54546,,
2024-09-08 00:00:00+00:00,124.75,127.46,124.75,126.26,28.072,2024-09-08 03:59:59.999,3547.66426,44,20.699,2622.39139,,
2024-09-08 04:00:00+00:00,126.16,126.64,124.74,125.24,74.352,2024-09-08 07:59:59.999,9333.63597,145,42.322,5324.6721,,
2024-09-08 08:00:00+00:00,125.84,130.22,124.58,125.98,184.484,2024-09-08 11:59:59.999,23457.69336,92,125.514,16032.06329,,
2024-09-08 12:00:00+00:00,126.13,126.64,123.79,124.07,420.94,2024-09-08 15:59:59.999,52619.40708,294,209.003,26160.43009,,
2024-09-08 16:00:00+00:00,123.95,126.3,123.92,124.75,57.759,2024-09-08 19:59:59.999,7253.47988,140,30.657,3852.47063,,
2024-09-08 20:00:00+00:00,124.56,127.31,124.15,126.15,96.237,2024-09-08 23:59:59.999,12146.35771,88,27.727,3480.07823,,
2024-09-09 00:00:00+00:00,126.07,127.59,124.67,127.46,60.946,2024-09-09 03:59:59.999,7671.89646,119,24.827,3132.84148,,
2024-09-09 04:00:00+00:00,126.69,134.08,125.8,134.08,314.857,2024-09-09 07:59:59.999,41197.79969,299,254.516,33369.8497,,
2024-09-09 08:00:00+00:00,134.45,136.64,133.9,134.69,351.77,2024-09-09 11:59:59.999,47568.44298,365,94.928,12874.82667,,
2024-09-09 12:00:00+00:00,135.77,137.86,133.75,137.19,792.206,2024-09-09 15:59:59.999,107818.72276,2177,185.559,25321.40568,,
2024-09-09 16:00:00+00:00,137.54,142.22,137.4,141.5,273.933,2024-09-09 19:59:59.999,38321.95534,359,164.39,23078.76135,,
2024-09-09 20:00:00+00:00,141.07,142.22,139.52,140.55,134.292,2024-09-09 23:59:59.999,18934.06832,167,68.742,9709.36609,,
2024-09-10 00:00:00+00:00,140.12,140.13,137.59,137.59,112.838,2024-09-10 03:59:59.999,15696.86344,159,68.944,9598.30109,,
2024-09-10 04:00:00+00:00,137.64,138.29,136.35,137.5,67.837,2024-09-10 07:59:59.999,9298.8996,99,31.286,4305.00151,,
2024-09-10 08:00:00+00:00,137.55,140.19,136.95,139.02,321.54,2024-09-10 11:59:59.999,44484.59904,465,213.627,29577.84993,,
2024-09-10 12:00:00+00:00,139.28,143.3,138.3,141.15,338.568,2024-09-10 15:59:59.999,47525.16378,272,153.43,21565.99658,,
2024-09-10 16:00:00+00:00,141.12,153.18,140.5,151.74,918.609,2024-09-10 19:59:59.999,136774.94878,698,492.209,73280.45483,,
2024-09-10 20:00:00+00:00,151.59,152.09,147.53,150.79,1315.82,2024-09-10 23:59:59.999,196888.73709,802,263.536,39608.15535,,
2024-09-11 00:00:00+00:00,150.41,152.36,148.24,152.36,96.829,2024-09-11 03:59:59.999,14543.5461,103,50.026,7532.50401,,
2024-09-11 04:00:00+00:00,152.28,160.05,148.98,154.22,1542.714,2024-09-11 07:59:59.999,236805.30792,1229,966.808,148844.82199,,
2024-09-11 08:00:00+00:00,154.01,154.01,147.92,149.03,1505.678,2024-09-11 11:59:59.999,225126.59694,1069,378.613,56676.42303,,
2024-09-11 12:00:00+00:00,148.69,150.97,145.34,148.76,1400.62,2024-09-11 15:59:59.999,206352.07505,870,385.782,57099.16559,,
2024-09-11 16:00:00+00:00,148.78,149.7,147.97,149.17,662.768,2024-09-11 19:59:59.999,98964.79858,296,143.884,21451.83325,,
2024-09-11 20:00:00+00:00,149.5,150.05,147.98,149.56,134.788,2024-09-11 23:59:59.999,20126.56534,145,41.533,6207.23532,,
2024-09-12 00:00:00+00:00,149.58,152.0,148.08,150.72,182.14,2024-09-12 03:59:59.999,27383.19673,164,113.102,16985.45485,,
2024-09-12 04:00:00+00:00,150.43,151.61,148.0,151.61,112.472,2024-09-12 07:59:59.999,16800.22463,348,53.938,8062.16049,,
2024-09-12 08:00:00+00:00,150.81,155.02,147.11,147.5,1516.078,2024-09-12 11:59:59.999,227451.08032,1673,1158.163,173979.16281,,
2024-09-12 12:00:00+00:00,147.21,148.83,143.02,143.67,844.67,2024-09-12 15:59:59.999,124330.14931,2260,356.789,52766.77884,,
2024-09-12 16:00:00+00:00,143.81,149.15,141.78,146.84,842.411,2024-09-12 19:59:59.999,121327.88086,1026,303.131,44046.73144,,
2024-09-12 20:00:00+00:00,146.84,146.84,144.48,145.4,124.008,2024-09-12 23:59:59.999,18035.05236,201,40.103,5842.94123,,
2024-09-13 00:00:00+00:00,145.02,146.36,142.5,142.88,423.611,2024-09-13 03:59:59.999,61512.56041,630,107.695,15654.45858,,
2024-09-13 04:00:00+00:00,142.5,143.2,140.82,141.56,310.753,2024-09-13 07:59:59.999,44259.81898,450,203.65,29002.37344,,
2024-09-13 08:00:00+00:00,141.15,143.0,138.88,142.45,391.442,2024-09-13 11:59:59.999,55346.09772,1248,129.786,18450.41668,,
2024-09-13 12:00:00+00:00,143.09,143.09,139.37,141.85,958.074,2024-09-13 15:59:59.999,135655.53298,1025,453.748,64322.22757,,
2024-09-13 16:00:00+00:00,141.88,144.65,141.15,142.74,296.031,2024-09-13 19:59:59.999,42274.28984,410,220.422,31507.25331,,
2024-09-13 20:00:00+00:00,143.4,145.81,142.74,144.26,260.742,2024-09-13 23:59:59.999,37710.55509,968,108.999,15791.79976,,
2024-09-14 00:00:00+00:00,144.4,144.4,140.65,141.53,512.44,2024-09-14 03:59:59.999,72340.00301,618,28.083,3986.07503,,
2024-09-14 04:00:00+00:00,141.2,141.36,136.9,139.39,643.791,2024-09-14 07:59:59.999,89813.10158,867,249.467,34879.04462,,
2024-09-14 08:00:00+00:00,139.47,140.43,137.56,138.28,178.316,2024-09-14 11:59:59.999,24819.66309,218,49.23,6881.29548,,
2024-09-14 12:00:00+00:00,138.34,139.7,138.3,139.47,103.089,2024-09-14 15:59:59.999,14320.2228,407,71.655,9954.68284,,
2024-09-14 16:00:00+00:00,139.29,140.04,137.9,139.98,81.762,2024-09-14 19:59:59.999,11371.87669,312,21.31,2968.8678,,
2024-09-14 20:00:00+00:00,139.86,141.55,139.83,140.27,144.061,2024-09-14 23:59:59.999,20235.39047,237,117.448,16506.64569,,
2024-09-15 00:00:00+00:00,140.23,146.9,140.19,146.38,280.258,2024-09-15 03:59:59.999,40637.67026,725,193.759,28005.47913,,
2024-09-15 04:00:00+00:00,146.43,147.89,143.75,146.6,919.261,2024-09-15 07:59:59.999,133900.82806,634,645.7,94275.73268,,
2024-09-15 08:00:00+00:00,146.62,147.58,144.73,146.68,349.011,2024-09-15 11:59:59.999,50972.97738,384,102.895,15077.56986,,
2024-09-15 12:00:00+00:00,146.66,149.84,145.8,147.28,129.895,2024-09-15 15:59:59.999,19153.637,423,69.24,10215.27057,,
2024-09-15 16:00:00+00:00,147.34,147.57,144.31,144.74,347.679,2024-09-15 19:59:59.999,50668.91109,639,104.75,15262.63187,,
2024-09-15 20:00:00+00:00,144.74,145.05,142.4,143.57,289.204,2024-09-15 23:59:59.999,41608.53882,276,110.617,15973.04479,,
2024-09-16 00:00:00+00:00,143.23,143.23,137.22,141.13,230.757,2024-09-16 03:59:59.999,32216.89082,382,64.51,8983.44183,,
2024-09-16 04:00:00+00:00,140.95,142.73,139.98,142.73,84.458,2024-09-16 07:59:59.999,11912.67328,133,65.404,9233.47919,,
2024-09-16 08:00:00+00:00,142.63,143.58,139.65,141.26,199.445,2024-09-16 11:59:59.999,28207.09064,201,173.305,24509.33777,,
2024-09-16 12:00:00+00:00,141.26,142.39,138.26,141.91,911.656,2024-09-16 15:59:59.999,126234.13944,280,819.65,113441.3316,,
2024-09-16 16:00:00+00:00,142.17,142.79,139.53,141.78,88.2,2024-09-16 19:59:59.999,12446.92553,280,56.605,7996.93848,,
2024-09-16 20:00:00+00:00,141.3,143.66,140.15,141.01,116.692,2024-09-16 23:59:59.999,16593.77185,65,88.667,12610.23265,,
2024-09-17 00:00:00+00:00,140.25,142.3,136.78,139.73,378.502,2024-09-17 03:59:59.999,52785.91967,455,201.793,28352.44758,,
2024-09-17 04:00:00+00:00,139.92,141.91,138.95,140.98,447.418,2024-09-17 07:59:59.999,63064.85688,218,133.339,18833.09375,,
2024-09-17 08:00:00+00:00,140.98,142.87,140.81,140.97,109.441,2024-09-17 11:59:59.999,15456.93578,284,69.856,9870.06239,,
2024-09-17 12:00:00+00:00,141.04,147.85,140.92,146.27,790.928,2024-09-17 15:59:59.999,113313.87527,1438,486.297,69856.06241,,
2024-09-17 16:00:00+00:00,146.12,146.12,141.5,142.73,307.835,2024-09-17 19:59:59.999,44141.77742,188,115.398,16599.77334,,
2024-09-17 20:00:00+00:00,142.5,142.93,140.29,140.57,64.87,2024-09-17 23:59:59.999,9162.22926,76,29.778,4213.96285,,
2024-09-18 00:00:00+00:00,140.56,140.78,138.93,140.16,135.733,2024-09-18 03:59:59.999,18998.17232,111,68.736,9648.64072,,
2024-09-18 04:00:00+00:00,139.98,139.98,136.92,138.56,188.019,2024-09-18 07:59:59.999,25989.86421,140,104.707,14462.31426,,
2024-09-18 08:00:00+00:00,138.56,139.63,134.79,135.63,250.249,2024-09-18 11:59:59.999,34225.03467,382,150.256,20619.43265,,
2024-09-18 12:00:00+00:00,135.55,136.72,134.51,134.7,339.886,2024-09-18 15:59:59.999,46158.89288,184,197.474,26870.12703,,
2024-09-18 16:00:00+00:00,134.47,139.29,134.21,136.96,1061.775,2024-09-18 19:59:59.999,145070.35767,445,471.193,64719.9294,,
2024-09-18 20:00:00+00:00,136.98,141.81,135.91,141.54,166.235,2024-09-18 23:59:59.999,23097.35358,96,79.475,11135.47957,,
2024-09-19 00:00:00+00:00,141.81,145.69,141.61,144.23,178.818,2024-09-19 03:59:59.999,25678.08889,145,121.469,17489.8036,,
2024-09-19 04:00:00+00:00,143.43,147.0,143.29,147.0,514.258,2024-09-19 07:59:59.999,74648.31831,330,196.659,28611.08863,,
2024-09-19 08:00:00+00:00,147.1,147.55,144.42,145.17,354.682,2024-09-19 11:59:59.999,51814.89899,155,156.52,22904.59247,,
2024-09-19 12:00:00+00:00,145.19,151.0,144.5,149.25,607.042,2024-09-19 15:59:59.999,89460.89097,472,297.813,44153.69055,,
2024-09-19 16:00:00+00:00,150.42,152.77,150.06,151.55,343.938,2024-09-19 19:59:59.999,52004.09971,279,224.956,33995.82738,,
2024-09-19 20:00:00+00:00,152.09,152.09,148.66,150.14,146.647,2024-09-19 23:59:59.999,22028.49207,136,36.411,5488.52385,,
2024-09-20 00:00:00+00:00,150.2,150.65,147.7,150.65,73.233,2024-09-20 03:59:59.999,10923.73316,60,44.502,6637.24677,,
2024-09-20 04:00:00+00:00,152.69,157.57,152.22,155.73,271.379,2024-09-20 07:59:59.999,41929.52283,223,173.309,26815.32928,,
2024-09-20 08:00:00+00:00,155.97,156.28,153.16,153.77,225.685,2024-09-20 11:59:59.999,34853.70089,229,106.642,16457.19375,,
2024-09-20 12:00:00+00:00,153.9,154.03,151.13,152.23,299.906,2024-09-20 15:59:59.999,45711.88251,105,79.569,12160.76697,,
2024-09-20 16:00:00+00:00,152.42,153.36,150.9,153.29,351.356,2024-09-20 19:59:59.999,53813.68926,175,17.004,2594.04975,,
2024-09-20 20:00:00+00:00,153.27,153.98,152.69,153.14,194.796,2024-09-20 23:59:59.999,29816.55084,77,43.018,6578.06455,,
