open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
2024-09-04 00:00:00+00:00,57472.01,58576.9,55588.21,57972.16,3938.9802,2024-09-04 23:59:59.999000+00:00,224786647.4708819,222186,1909.412,108941003.6268775,
2024-09-05 00:00:00+00:00,57972.17,58333.18,55600.99,56165.69,3146.72042,2024-09-05 23:59:59.999000+00:00,178394417.7141287,214434,1640.54736,92980495.1674324,
2024-09-06 00:00:00+00:00,56162.0,57023.49,52527.66,53949.96,6902.35019,2024-09-06 23:59:59.999000+00:00,378515151.4746704,381779,3388.38796,185791360.5698524,
2024-09-07 00:00:00+00:00,53947.34,54846.0,53734.01,54146.0,2116.15021,2024-09-07 23:59:59.999000+00:00,114824398.3582501,139200,1007.75684,54680542.0837519,
2024-09-08 00:00:00+00:00,54160.0,55317.05,53626.53,54874.0,2112.54987,2024-09-08 23:59:59.999000+00:00,114924520.2209169,146260,1012.43689,55079793.3440512,
2024-09-09 00:00:00+00:00,54874.0,58100.0,54584.01,57052.05,4984.77742,2024-09-09 23:59:59.999000+00:00,278548069.7273943,266373,2475.27099,138342247.4304629,
2024-09-10 00:00:00+00:00,57052.05,58050.0,56378.69,57647.33,3311.28926,2024-09-10 23:59:59.999000+00:00,189251453.3685297,223893,1667.14078,95274433.2697453,
2024-09-11 00:00:00+00:00,57647.34,57996.7,55550.01,57352.86,4910.82239,2024-09-11 23:59:59.999000+00:00,278867401.9992509,387988,2376.04401,134842850.1410163,
2024-09-12 00:00:00+00:00,57347.69,58599.45,57332.0,58139.98,4046.55713,2024-09-12 23:59:59.999000+00:00,234788077.5903908,482677,1885.87903,109421604.3337557,
2024-09-13 00:00:00+00:00,58139.99,60676.53,57634.0,60545.92,4090.43885,2024-09-13 23:59:59.999000+00:00,241443071.9972769,318488,1747.50501,103168376.0998281,
2024-09-14 00:00:00+00:00,60541.13,60668.0,59417.53,60011.32,1862.79748,2024-09-14 23:59:59.999000+00:00,112078798.8207723,166236,855.54482,51452902.3890339,
2024-09-15 00:00:00+00:00,60011.32,60407.39,58701.38,59140.22,1917.38375,2024-09-15 23:59:59.999000+00:00,114668754.6392132,184423,933.56968,55838299.2308927,
2024-09-16 00:00:00+00:00,59134.0,59214.11,57425.0,58214.1,3577.57227,2024-09-16 23:59:59.999000+00:00,208549439.8866591,186777,1870.9456,109084698.0325005,
2024-09-17 00:00:00+00:00,58212.0,61359.37,57622.01,60326.0,4808.32371,2024-09-17 23:59:59.999000+00:00,287871899.3505216,241515,2461.35176,147283152.5352245,
2024-09-18 00:00:00+00:00,60326.0,61790.17,59177.01,61768.01,3896.99969,2024-09-18 23:59:59.999000+00:00,234725223.4229275,241630,1952.15591,117629450.3261906,
2024-09-19 00:00:00+00:00,61777.13,63875.21,61587.62,62966.04,4236.52802,2024-09-19 23:59:59.999000+00:00,265900089.0207836,194490,2020.75196,126817729.4348384,
2024-09-20 00:00:00+00:00,62971.37,64138.87,62350.0,63212.14,3030.107,2024-09-20 23:59:59.999000+00:00,191707466.4479545,125405,1525.24265,96497270.052104,
2024-09-21 00:00:00+00:00,63212.14,63571.42,62762.29,63361.55,792.98702,2024-09-21 23:59:59.999000+00:00,50058694.4190329,52047,370.76193,23404492.5537363,
2024-09-22 00:00:00+00:00,63361.55,64006.0,62368.08,63586.0,1560.26788,2024-09-22 23:59:59.999000+00:00,98386941.5563943,85025,751.65532,47407925.606267,
2024-09-23 00:00:00+00:00,63587.99,64793.79,62562.51,63341.61,2736.20511,2024-09-23 23:59:59.999000+00:00,173925792.4986308,166213,1392.92132,88510573.5378443,
2024-09-24 00:00:00+00:00,63341.61,64696.29,62705.17,64271.78,3071.74211,2024-09-24 23:59:59.999000+00:00,195331860.2630521,225880,1416.72914,90057216.3045284,
2024-09-25 00:00:00+00:00,64275.37,64826.0,62923.5,63143.44,2090.27121,2024-09-25 23:59:59.999000+00:00,133174976.2892933,207232,974.9168,62108581.4612128,
2024-09-26 00:00:00+00:00,63139.81,65848.9,62663.27,65185.43,3578.06984,2024-09-26 23:59:59.999000+00:00,231321336.3005694,337875,1686.61319,108971138.7855484,
2024-09-27 00:00:00+00:00,65185.42,66523.17,64830.01,65786.34,2803.7802,2024-09-27 23:59:59.999000+00:00,184284357.2633866,272812,1280.482,84151073.9231025,
2024-09-28 00:00:00+00:00,65788.95,66278.99,65433.68,65868.35,1124.82912,2024-09-28 23:59:59.999000+00:00,73971998.3954857,160601,586.35551,38565819.2113386,
2024-09-29 00:00:00+00:00,65868.35,66088.0,65442.88,65612.88,988.95867,2024-09-29 23:59:59.999000+00:00,65018754.4986684,140109,471.9054,31026593.879735,
2024-09-30 00:00:00+00:00,65612.88,65635.74,62829.38,63317.61,3392.6046,2024-09-30 23:59:59.999000+00:00,216933308.7118243,286721,1702.21367,108813576.6362999,
2024-10-01 00:00:00+00:00,63313.49,64117.03,60154.02,60804.88,5558.1963,2024-10-01 23:59:59.999000+00:00,346587612.4987881,324862,2699.54981,168538671.9590046,
2024-10-02 00:00:00+00:00,60800.01,62378.76,59964.88,60638.23,3641.3208,2024-10-02 23:59:59.999000+00:00,222743139.7580074,160808,1726.34554,105588380.8757909,
2024-10-03 00:00:00+00:00,60638.23,61474.47,59851.34,60750.52,3396.98866,2024-10-03 23:59:59.999000+00:00,205923051.8685937,130113,1667.57036,101077390.2732675,
2024-10-04 00:00:00+00:00,60750.53,62490.0,60465.6,62089.66,3453.69412,2024-10-04 23:59:59.999000+00:00,212911224.240565,126772,1664.8077,102644501.5874025,
2024-10-05 00:00:00+00:00,62092.57,62382.34,61690.15,62054.41,947.06626,2024-10-05 23:59:59.999000+00:00,58794900.6954453,53369,452.98277,28123668.1578865,
2024-10-06 00:00:00+00:00,62054.41,63045.59,61806.1,62821.62,1058.96357,2024-10-06 23:59:59.999000+00:00,66125265.046493,58345,508.09217,31732276.1675201,
2024-10-07 00:00:00+00:00,62821.62,64451.58,62116.0,62223.08,3986.87427,2024-10-07 23:59:59.999000+00:00,252769804.2140019,139477,1987.96152,126034689.8375655,
2024-10-08 00:00:00+00:00,62213.17,63189.33,61842.03,62130.33,3192.98525,2024-10-08 23:59:59.999000+00:00,199279358.8930772,114568,1682.43441,105011792.5646353,
2024-10-09 00:00:00+00:00,62130.33,62517.98,60250.19,60588.93,2802.31144,2024-10-09 23:59:59.999000+00:00,172672997.2086475,102192,1350.18146,83198782.1131243,
2024-10-10 00:00:00+00:00,60587.31,61312.01,58868.76,60281.22,3740.63012,2024-10-10 23:59:59.999000+00:00,225450338.6416992,133533,1747.46864,105330779.2928298,
2024-10-11 00:00:00+00:00,60281.23,63428.42,60035.97,62525.0,3794.61812,2024-10-11 23:59:59.999000+00:00,235164254.0799745,137086,1738.64918,107748595.0617348,
2024-10-12 00:00:00+00:00,62529.4,63513.69,62474.66,63197.99,1414.40413,2024-10-12 23:59:59.999000+00:00,89088163.0433192,73988,662.52184,41726617.3888122,
2024-10-13 00:00:00+00:00,63197.99,63279.41,62041.45,62850.21,1500.22294,2024-10-13 23:59:59.999000+00:00,94010779.2106288,77632,704.8993,44170589.6022525,
2024-10-14 00:00:00+00:00,62850.21,66511.0,62438.01,66075.54,4819.13578,2024-10-14 23:59:59.999000+00:00,313282860.0558869,183954,2533.40977,164509744.1640135,
2024-10-15 00:00:00+00:00,66075.51,67943.15,64790.12,67072.02,5333.83428,2024-10-15 23:59:59.999000+00:00,353831658.4196341,210609,2670.32011,177166898.4976634,
2024-10-16 00:00:00+00:00,67072.01,68424.05,66747.77,67614.92,4304.36405,2024-10-16 23:59:59.999000+00:00,290973932.4449341,160583,2012.87624,136070716.6469066,
2024-10-17 00:00:00+00:00,67614.92,67932.87,66632.38,67409.99,3141.64335,2024-10-17 23:59:59.999000+00:00,211126296.63691,112410,1533.03666,103022761.2486667,
2024-10-18 00:00:00+00:00,67409.99,69024.69,67172.45,68428.56,4514.64255,2024-10-18 23:59:59.999000+00:00,308013201.4421972,161854,2131.05755,145378349.7890452,
2024-10-19 00:00:00+00:00,68434.0,68692.0,67990.61,68373.48,1052.64171,2024-10-19 23:59:59.999000+00:00,71897021.0668205,66632,492.64287,33652290.294168,
2024-10-20 00:00:00+00:00,68373.48,69390.0,68091.97,69024.01,1600.20602,2024-10-20 23:59:59.999000+00:00,109828326.1633497,85702,750.73982,51529561.1248256,
2024-10-21 00:00:00+00:00,69024.01,69516.0,66815.0,67364.01,3907.29688,2024-10-21 23:59:59.999000+00:00,265478945.908898,156107,1895.18096,128733224.0495394,
2024-10-22 00:00:00+00:00,67364.0,67808.0,66563.54,67394.09,2702.36051,2024-10-22 23:59:59.999000+00:00,181734940.1352772,151087,1268.10139,85281105.0515083,
2024-10-23 00:00:00+00:00,67396.15,67438.99,65187.76,66611.22,3476.64262,2024-10-23 23:59:59.999000+00:00,230671670.7290363,166191,1678.89489,111340000.0285834,
