coin,entry_time,exit_time,entry_price,exit_price,position_size,price_return,gross_pnl,fees,net_pnl,bankroll_after,trade_number
ADAUSDC,2024-11-06 00:00:00+00:00,2024-11-06 01:00:00+00:00,0.3336,0.3404,25.0,0.020383693045563468,0.5095923261390867,0.05050959232613909,0.45908273381294756,26.45908273381295,1
ADAUSDC,2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00,0.3408,0.3509,25.0,0.029636150234741778,0.7409037558685444,0.050740903755868545,0.6901628521126758,27.149245585925623,2
ADAUSDC,2024-11-09 21:00:00+00:00,2024-11-09 22:00:00+00:00,0.4428,0.4675,25.0,0.0557813911472448,1.39453477868112,0.051394534778681125,1.343140243902439,28.492385829828063,3
ADAUSDC,2024-11-09 22:00:00+00:00,2024-11-09 23:00:00+00:00,0.446,0.4969,25.0,0.1141255605381166,2.853139013452915,0.05285313901345291,2.800285874439462,31.292671704267526,4
ADAUSDC,2024-11-10 02:00:00+00:00,2024-11-10 03:00:00+00:00,0.5188,0.5333,25.0,0.027949113338473316,0.6987278334618329,0.05069872783346183,0.648029105628371,31.940700809895898,5
ADAUSDC,2024-11-10 03:00:00+00:00,2024-11-10 04:00:00+00:00,0.5173,0.5645,25.0,0.09124299246085447,2.281074811521362,0.05228107481152136,2.2287937367098407,34.16949454660574,6
ADAUSDC,2024-11-13 12:00:00+00:00,2024-11-13 13:00:00+00:00,0.5384,0.566,25.0,0.05126300148588402,1.2815750371471006,0.0512815750371471,1.2302934621099535,35.399788008715696,7
ADAUSDC,2024-11-13 13:00:00+00:00,2024-11-13 14:00:00+00:00,0.5359,0.6064,25.0,0.13155439447658146,3.2888598619145366,0.05328885986191454,3.2355710020526223,38.63535901076832,8
ADAUSDC,2024-11-18 00:00:00+00:00,2024-11-18 01:00:00+00:00,0.7027,0.737,25.0,0.048811726198946914,1.2202931549736729,0.05122029315497367,1.1690728618186992,39.80443187258702,9
ADAUSDC,2024-11-26 18:00:00+00:00,2024-11-26 19:00:00+00:00,0.9259,0.9408,25.0,0.016092450588616507,0.4023112647154127,0.050402311264715415,0.3519089534506973,40.15634082603771,10
ADAUSDC,2024-12-02 12:00:00+00:00,2024-12-02 13:00:00+00:00,1.0728,1.1005,25.0,0.025820283370618997,0.6455070842654749,0.050645507084265476,0.5948615771812094,40.751202403218926,11
ADAUSDC,2024-12-02 13:00:00+00:00,2024-12-02 14:00:00+00:00,1.0788,1.1336,25.0,0.050797182054134186,1.2699295513533546,0.05126992955135336,1.2186596218020012,41.96986202502093,12
ADAUSDC,2024-12-02 14:00:00+00:00,2024-12-02 15:00:00+00:00,1.0998,1.2069,25.0,0.0973813420621931,2.434533551554827,0.052434533551554835,2.3820990180032724,44.351961043024204,13
ADAUSDC,2024-12-05 01:00:00+00:00,2024-12-05 02:00:00+00:00,1.1637,1.1802,25.0,0.014178912090745004,0.3544728022686251,0.050354472802268624,0.3041183294663565,44.65607937249056,14
ADAUSDC,2024-12-10 17:00:00+00:00,2024-12-10 18:00:00+00:00,0.9698,0.9472,25.0,-0.023303773974015212,-0.5825943493503803,0.04941740565064962,-0.63201175500103,44.02406761748953,15
