Coin,Total Trades,Win Rate,Total PnL,Total Return,Final Bankroll,Avg PnL/Trade
ADAUSDC,0,0.0%,$0.00,0.0%,$26.00,$0.00
BTCUSDC,0,0.0%,$0.00,0.0%,$26.00,$0.00
DOGEUSDC,0,0.0%,$0.00,0.0%,$26.00,$0.00
ETHUSDC,14,100.0%,$17.22,66.2%,$43.22,$1.23
XRPUSDC,0,0.0%,$0.00,0.0%,$26.00,$0.00
